leto,država,id,ime,p1,p2,p3,p4,p5,p6,vsota,nagrada
1963,Union of Soviet Socialist Republics,9867,Rafael Sarkisyan,unknown,unknown,unknown,unknown,unknown,unknown,39,Gold medal
1963,Union of Soviet Socialist Republics,9865,Genadiy Maloletkin,unknown,unknown,unknown,unknown,unknown,unknown,39,Gold medal
1963,Union of Soviet Socialist Republics,9868,Aleksei Tolpygo,unknown,unknown,unknown,unknown,unknown,unknown,38,Gold medal
1963,Union of Soviet Socialist Republics,9863,Anatoli Zaicev,unknown,unknown,unknown,unknown,unknown,unknown,35,Gold medal
1963,Union of Soviet Socialist Republics,9869,Vladimir Fishman,unknown,unknown,unknown,unknown,unknown,unknown,34,Silver medal
1963,Union of Soviet Socialist Republics,9864,Anatoly Zvaignicev,unknown,unknown,unknown,unknown,unknown,unknown,30,Silver medal
1963,Union of Soviet Socialist Republics,9866,Sergei Smirnov,unknown,unknown,unknown,unknown,unknown,unknown,29,Silver medal
1963,Union of Soviet Socialist Republics,9862,Kiril Andreev,unknown,unknown,unknown,unknown,unknown,unknown,27,Bronze medal
1963,Hungary,9852,László Lovász,unknown,unknown,unknown,unknown,unknown,unknown,34,Silver medal
1963,Hungary,9820,Ferenc Szidarovszky,unknown,unknown,unknown,unknown,unknown,unknown,33,Silver medal
1963,Hungary,9853,József Pelikán,unknown,unknown,unknown,unknown,unknown,unknown,32,Silver medal
1963,Hungary,9854,László Gerencsér,unknown,unknown,unknown,unknown,unknown,unknown,32,Silver medal
1963,Hungary,9850,Patrik Fazekas,unknown,unknown,unknown,unknown,unknown,unknown,29,Silver medal
1963,Hungary,9849,Gábor Corrádi,unknown,unknown,unknown,unknown,unknown,unknown,26,Bronze medal
1963,Hungary,9851,Endre Makai,unknown,unknown,unknown,unknown,unknown,unknown,25,Bronze medal
1963,Hungary,9848,Attila Máté,unknown,unknown,unknown,unknown,unknown,unknown,23,Bronze medal
1963,Romania,9860,László Zsidó,unknown,unknown,unknown,unknown,unknown,unknown,37,Gold medal
1963,Romania,9829,George Lusztig,unknown,unknown,unknown,unknown,unknown,unknown,31,Silver medal
1963,Romania,9827,Gheorghe Eckstein,unknown,unknown,unknown,unknown,unknown,unknown,27,Bronze medal
1963,Romania,9858,Şerban Grigorescu,unknown,unknown,unknown,unknown,unknown,unknown,25,Bronze medal
